departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Charente-Maritime,Jonchée,http://fr.wikipedia.org/wiki/Jonch%C3%A9e_%28fromage%29,,,Vache,fresh-cheese
Pyrénées-Atlantiques,Kaïkou,http://fr.wikipedia.org/wiki/Ka%C3%AFkou,,,Brebis,cooked-pressed-cheese
Sarthe,Kiri,http://fr.wikipedia.org/wiki/Kiri_%28marque%29,,,Vache,mixed-cheese
Côte-d'Or,L'Ami du Chambertin,http://fr.wikipedia.org/wiki/L%27Ami_du_Chambertin,,,Vache,rind-washed-cheese
Réunion,La Fournaise,http://fr.wikipedia.org/wiki/La_Fournaise_%28fromage%29,,,Vache,cooked-pressed-cheese
Réunion,La Petite Raclette,http://fr.wikipedia.org/wiki/La_Petite_Raclette,,,Vache,cooked-pressed-cheese
Rhône,La Pierre Dorée,http://fr.wikipedia.org/wiki/La_Pierre_Dor%C3%A9e,,,Chèvre,soft-ripened-cheese
Jura,La Vache qui rit,http://fr.wikipedia.org/wiki/La_Vache_qui_rit,http://en.wikipedia.org/wiki/The_Laughing_Cow,,Vache,fresh-cheese
Cantal,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,http://en.wikipedia.org/wiki/Laguiole_cheese,,Vache,uncooked-pressed-cheese
Lozère,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,http://en.wikipedia.org/wiki/Laguiole_cheese,,Vache,uncooked-pressed-cheese
Aveyron,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,http://en.wikipedia.org/wiki/Laguiole_cheese,,Vache,uncooked-pressed-cheese
Haute-Marne,Langres,http://fr.wikipedia.org/wiki/Langres_%28fromage%29,http://en.wikipedia.org/wiki/Langres_cheese,,Vache,rind-washed-cheese
Nord,Larron d'Ors,http://fr.wikipedia.org/wiki/Larron_d%27Ors,,,Vache,rind-washed-cheese
Pyrénées-Atlantiques,Le Bleu des Basques,http://fr.wikipedia.org/wiki/Le_Bleu_des_Basques,,,Brebis,blue-cheese
Pyrénées-Atlantiques,Le Brebiou,http://fr.wikipedia.org/wiki/Le_Brebiou,,,Brebis,soft-ripened-cheese
Ardèche,Le Coucouron,http://fr.wikipedia.org/wiki/Le_Coucouron,,,Vache,blue-cheese
Loire-Atlantique,Le Curé Nantais,http://fr.wikipedia.org/wiki/Le_Cur%C3%A9_Nantais,,,Vache,rind-washed-cheese
Allier,Le Délice du Chalet,http://fr.wikipedia.org/wiki/Le_D%C3%A9lice_du_Chalet,,,Vache,uncooked-pressed-cheese
Lozère,Le Fédou,http://fr.wikipedia.org/wiki/Le_F%C3%A9dou,,,Brebis,soft-ripened-cheese
Seine-Maritime,Le Graval,http://fr.wikipedia.org/wiki/Le_Graval,,,Vache,soft-ripened-cheese
Puy-de-Dôme,Le Lavort,http://fr.wikipedia.org/wiki/Le_Lavort,,,Brebis,uncooked-pressed-cheese
Ariège,Le Moulis,http://fr.wikipedia.org/wiki/Le_Moulis,,,Brebis,uncooked-pressed-cheese
Eure,Le Pavé du Plessis,http://fr.wikipedia.org/wiki/Le_Pav%C3%A9_du_Plessis,,,Vache,rind-washed-cheese
Loir-et-Cher,Le Petit Trôo,http://fr.wikipedia.org/wiki/Le_Petit_Tr%C3%B4o,,,Vache,soft-ripened-cheese
Ariège,Le Rogallais,http://fr.wikipedia.org/wiki/Le_Rogallais,,,Vache,uncooked-pressed-cheese
Nord,Le Rouchi à l'échalote,http://fr.wikipedia.org/wiki/Le_Rouchi_%C3%A0_l%27%C3%A9chalote,,,Vache,rind-washed-cheese
